,company id,industry 1,industry 2,industry 3,industry 4,industry 5,industry 6
0,11949,Healthcare,Tech,,,,
1,11868,Finance,Tech,,,,
2,11943,,,,,,
3,11930,Education,Tech,,,,
4,11939,Consumer,Fashion and Beauty,Social Good,,,
5,12005,,,,,,
6,11639,,,,,,
7,11640,Client Services,Consulting,,,,
8,11743,Finance,Tech,,,,
9,11890,Finance,Tech,,,,
10,1132,Advertising and Agencies,Media,Real Estate & Construction,Tech,,
11,12014,,,,,,
12,11723,Real Estate & Construction,Travel and Hospitality,,,,
13,1508,Finance,Healthcare,,,,
14,11959,,,,,,
15,11699,Education,Tech,,,,
16,11812,Advertising and Agencies,Media,Tech,,,
17,11987,,,,,,
18,1304,Consulting,Tech,,,,
19,11957,Client Services,Real Estate & Construction,,,,
20,11873,Consumer,Finance,Tech,,,
21,11777,,,,,,
22,11897,Client Services,Consulting,Engineering,Manufacturing,Tech,
23,11805,Tech,Telecom,,,,
24,11818,,,,,,
25,11758,,,,,,
26,1086,Consumer,Finance,Real Estate & Construction,Tech,,
27,1535,Finance,Tech,,,,
28,1315,,,,,,
29,11770,,,,,,
30,11898,Consulting,Social Good,Tech,,,
31,11855,Client Services,Tech,,,,
32,11820,Client Services,Engineering,Finance,Tech,,
33,1088,,,,,,
34,1511,,,,,,
35,11722,Engineering,Tech,,,,
36,1287,Client Services,Tech,,,,
37,1257,Finance,Tech,,,,
38,11720,Client Services,Media,Social Media,Tech,,
39,1360,Media,Tech,,,,
40,11888,Finance,Tech,Telecom,,,
41,1415,Consulting,Tech,,,,
42,11717,Client Services,Tech,,,,
43,11970,,,,,,
44,11836,Finance,Tech,,,,
45,1501,Food & Beverage,Tech,,,,
46,773,,,,,,
47,1613,,,,,,
48,11702,Finance,Tech,,,,
49,1375,,,,,,
50,11714,,,,,,
51,1238,,,,,,
52,11678,,,,,,
53,891,,,,,,
54,741,,,,,,
55,11960,Client Services,Media,Social Media,Tech,,
56,11762,Client Services,Media,,,,
57,11647,Entertainment & Gaming,Media,,,,
58,1195,Education,Tech,,,,
59,11843,,,,,,
60,11928,Food & Beverage,Manufacturing,Tech,,,
61,11907,,,,,,
62,1103,Healthcare,Tech,,,,
63,11912,Consumer,Tech,,,,
64,11833,Consulting,Tech,,,,
65,11889,,,,,,
66,11860,,,,,,
67,11636,Finance,Tech,,,,
68,11712,Consumer,Engineering,Food & Beverage,Tech,,
69,11755,Advertising and Agencies,Media,Tech,,,
70,11687,,,,,,
71,11983,,,,,,
72,338,Consumer,Fashion and Beauty,,,,
73,1199,,,,,,
74,586,,,,,,
75,1157,Client Services,Consumer,Finance,Tech,,
76,11893,Advertising and Agencies,Consulting,Social Good,,,
77,11895,,,,,,
78,11866,,,,,,
79,11665,Education,Social Good,,,,
80,11827,Consumer,Finance,Media,Tech,,
81,11708,,,,,,
82,11909,Finance,Tech,,,,
83,11831,,,,,,
84,922,,,,,,
85,11901,Client Services,Consulting,,,,
86,11703,Consumer,Insurance,Tech,,,
87,334,Advertising and Agencies,Media,Social Media,Tech,,
88,838,Advertising and Agencies,Client Services,Tech,,,
89,11975,Finance,Tech,,,,
90,738,Consumer,Fashion and Beauty,,,,
91,1478,Finance,Tech,,,,
92,11807,Client Services,Finance,Insurance,Tech,,
93,221,Engineering,Finance,Healthcare,Tech,,
94,11871,Arts and Music,Media,,,,
95,1288,,,,,,
96,11794,Education,Social Good,,,,
97,850,,,,,,
98,972,Architecture,Engineering,,,,
99,1252,,,,,,
100,1468,,,,,,
101,92,,,,,,
102,545,,,,,,
103,880,,,,,,
104,11681,Consumer,Healthcare,Social Good,,,
105,1082,,,,,,
106,11932,Engineering,Tech,,,,
107,185,Tech,Travel and Hospitality,,,,
108,11919,Consumer,Tech,,,,
109,108,Entertainment & Gaming,Media,,,,
110,659,Engineering,Social Media,Tech,,,
111,11935,Advertising and Agencies,Tech,,,,
112,1156,Consumer,Tech,,,,
113,11880,Healthcare,Tech,,,,
114,11875,Engineering,Insurance,Tech,,,
115,11942,Advertising and Agencies,Client Services,Consulting,Tech,,
116,792,,,,,,
117,376,Finance,Media,,,,
118,979,Consumer,Tech,Telecom,,,
119,11752,Entertainment & Gaming,Tech,,,,
120,11760,,,,,,
121,11922,Arts and Music,Tech,,,,
122,11778,Consulting,Finance,Tech,,,
123,1307,,,,,,
124,638,,,,,,
125,360,,,,,,
126,1389,,,,,,
127,11774,,,,,,
128,11940,Client Services,Consulting,Education,,,
129,1527,Client Services,Consulting,Finance,,,
130,369,,,,,,
131,11863,Arts and Music,Entertainment & Gaming,Media,Social Good,,
132,1448,,,,,,
133,1633,,,,,,
134,11917,Education,Tech,,,,
135,11648,Consumer,Fashion and Beauty,,,,
136,829,Finance,Insurance,,,,
137,11801,Healthcare,Tech,,,,
138,1003,Finance,Tech,,,,
139,995,Real Estate & Construction,Tech,,,,
140,970,Finance,Tech,,,,
141,654,,,,,,
142,11854,,,,,,
143,365,,,,,,
144,1197,,,,,,
145,1149,Education,Healthcare,,,,
146,1322,,,,,,
147,1632,,,,,,
148,11828,,,,,,
149,1062,Client Services,Insurance,,,,
150,831,Consumer,Fashion and Beauty,,,,
151,1374,Consumer,Entertainment & Gaming,Media,Social Media,,
152,865,,,,,,
153,1097,,,,,,
154,11738,Client Services,Media,Tech,,,
155,11920,Client Services,Engineering,Tech,,,
156,11729,Media,Social Good,Tech,Travel and Hospitality,,
157,373,Client Services,Real Estate & Construction,Travel and Hospitality,,,
158,1136,Consumer,Fashion and Beauty,,,,
159,11877,Engineering,Finance,Tech,,,
160,11989,,,,,,
161,416,Advertising and Agencies,Tech,,,,
162,11726,Advertising and Agencies,Arts and Music,Client Services,Entertainment & Gaming,Media,
163,11839,Advertising and Agencies,Media,Tech,,,
164,849,Healthcare,Tech,,,,
165,11837,,,,,,
166,11679,Education,Tech,,,,
167,11711,Healthcare,Insurance,,,,
168,11730,Consumer,Food & Beverage,Social Good,,,
169,1525,Healthcare,Tech,,,,
170,11764,Media,Tech,,,,
171,1493,Consumer,Engineering,Fashion and Beauty,Healthcare,Manufacturing,Tech
172,11858,,,,,,
