,company id,company name,industy 1,industy 2,industy 3,industy 4,industy 5,industy 6
0,11943,Coda,,,,,,
1,11930,Udemy,Education,Tech,,,,
2,11939,Bombas,Consumer,Fashion and Beauty,Social Good,,,
3,12005,Socure,,,,,,
4,1626,City National Bank,,,,,,
5,11640,NeuroLeadership Institute,Client Services,Consulting,,,,
6,11743,Macquarie Group,Finance,Tech,,,,
7,11890,Personal Capital,Finance,Tech,,,,
8,1132,Captivate,Advertising and Agencies,Media,Real Estate & Construction,Tech,,
9,11723,Equity Lifestyle Properties,Real Estate & Construction,Travel and Hospitality,,,,
10,1508,Bankers Healthcare Group,Finance,Healthcare,,,,
11,11959,Alation,,,,,,
12,11699,Coursera,Education,Tech,,,,
13,11812,Invisibly,Advertising and Agencies,Media,Tech,,,
14,11987,Yubico,,,,,,
15,1304,CapTech,Consulting,Tech,,,,
16,11957,Restoration Management Company,Client Services,Real Estate & Construction,,,,
17,11873,Stash,Consumer,Finance,Tech,,,
18,11777,Coty,,,,,,
19,11897,McMaster-Carr,Client Services,Consulting,Engineering,Manufacturing,Tech,
20,11805,TextNow,Tech,Telecom,,,,
21,11818,Laurel Road,,,,,,
22,11758,Riskified,,,,,,
23,1535,E*TRADE,Finance,Tech,,,,
24,11770,Story,,,,,,
25,11898,Impact Makers,Consulting,Social Good,Tech,,,
26,11855,Automation Anywhere,Client Services,Tech,,,,
27,11820,MUFG in the Americas,Client Services,Engineering,Finance,Tech,,
28,1088,CNN Digital,,,,,,
29,1511,Augury,,,,,,
30,11722,Cloudflare,Engineering,Tech,,,,
31,1287,Lucid,Client Services,Tech,,,,
32,1257,BlackRock,Finance,Tech,,,,
33,11720,SEMrush,Client Services,Media,Social Media,Tech,,
34,1360,The Washington Post,Media,Tech,,,,
35,11888,Next Caller,Finance,Tech,Telecom,,,
36,1415,Avanade,Consulting,Tech,,,,
37,11717,Smartsheet,Client Services,Tech,,,,
38,11970,Gladly,,,,,,
39,11836,Charles Schwab,Finance,Tech,,,,
40,1501,Indigo,Food & Beverage,Tech,,,,
41,773,Lever,,,,,,
42,1613,Windsor Communities,,,,,,
43,11702,N26,Finance,Tech,,,,
44,1375,Open Systems Healthcare,,,,,,
45,11714,Aetion,,,,,,
